Company Name,Title,Description,Location,Started On,Finished On
Shell,Lead Data Engineer - Contract,"Building the data architecture for a brand new global agile data team at Shell's Innovation Hub using Hadoop, Hive, Spark, Kafka, Kubernetes and Machine Learning on top of Azure","Rotterdam Area, Netherlands",Jun 2019,
VodafoneZiggo,Senior Data Engineer - Contract,"Part of the Advanced Analytics Platform (AAP) and Technical Passport (TP). (Py)Spark, Hive, Oozie & Hadoop development.","Utrecht Area, Netherlands",Apr 2019,May 2019
eBay,Big Data Engineer - Contract,"Data ingestion as a service (Kafka, Hadoop, Kubernetes, Scala) @ eBay's PE (Platform Engineering) team.  Spark, Scala, Flink, Hadoop, Cassandra & Machine Learning @ eBay's CDATA (Central Data) team.","Amsterdam Area, Netherlands",Jun 2018,Apr 2019
USponsor me,Big Data & Machine Learning Engineer - Contract,"Part-time remote freelance contract for building a scalable Spark data ingestion, cleaning & deduplication pipeline on AWS with Spark, Scala, SparkML, GraphX & MongoDB",Greater Los Angeles Area,May 2018,Jan 2020
Datlinq,Big Data Software Engineer,"Developed & implemented big data pipelines with machine learning and continuous ingestion in the cloud, using Apache Spark, Scala and a plethora of other tools, like: Airflow, Hadoop, Docker, Kubernetes, Elasticsearch, MongoDB, etc.","Rotterdam Area, Netherlands",Apr 2016,Jun 2018
Datlinq,Operations Manager (Data & IT),"Managed IT & BI department, maintaining and developing core products for Datlinq, like Salesmapp, Data Outlet, Location Data Hub, etc. Helped hands-on by developing quick search and other tools. Why I left management: https://www.linkedin.com/pulse/re-becoming-developer-tom-lous/","Rotterdam Area, Netherlands",Mar 2014,Apr 2016
dpdk,Manager Development,"Introduced agile workflow and managed developers across multiple multi disciplinary SCRUM teams. Led the way for new innovations and helped develop web & mobile applications, hands on, when needed.","Rotterdam Area, Netherlands",May 2010,Feb 2014
Mindwarp Internet Solutions,Technical Lead / Sr. Web Developer / Software Engineer,"Full-stack web development, mainly LAMP stack, for a range of clients across a range of platforms.","Rotterdam Area, Netherlands",Nov 2003,Apr 2010
TOPXS.nl,System Administrator & Support,Built and maintained web hosting systems for a range of internal and external clients. Mainly Debian linux.,"Rotterdam Area, Netherlands",Nov 2003,Apr 2010
GraphIQ,Owner,Owner of web development company GraphIQ Smart Design. Developed many small scale websites.,"Amsterdam Area, Netherlands",Feb 2001,Jan 2007
HydroLogic,Software Engineer & System Administrator,VB6/ASP developer for in house software product HydroNet.,"Utrecht Area, Netherlands",Feb 2003,Nov 2003
DotMachine,Freelance Java Developer,Freelance Java developer for feedback system,"Amstelveen, The Netherlands",Jan 2003,Feb 2003
